pdf,page,index,source,side_pt,native_width,native_height,trimmed,detector_score,texture,x0,y0,x1,y1
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,647,1,embedded,153.6,1280,1264,True,1.0,0.8388,243.85,345.6,397.45,497.28
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,653,0,embedded,152.64,1272,1264,True,1.0,0.8124,45.13,359.99,197.77,511.67
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,659,0,embedded,152.64,1272,1256,True,1.0,0.788,244.81,272.63,397.45,423.35
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,665,0,embedded,153.6,1280,1264,True,1.0,0.8285,45.13,213.12,198.73,364.8
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,671,0,embedded,152.64,1272,1256,True,1.0,0.8378,244.81,88.31,397.45,239.03
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,671,1,embedded,154.56,1288,1264,True,1.0,0.8296,244.81,445.44,399.37,597.12
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,677,0,embedded,152.64,1272,1256,True,1.0,0.7885,243.85,51.83,396.49,202.55
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,683,0,embedded,152.64,1272,1264,True,1.0,0.7803,45.13,98.87,197.77,250.55
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,688,0,embedded,154.56,1288,1264,True,1.0,0.849,43.21,443.52,197.77,595.2
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,688,1,embedded,153.6,1280,1256,True,1.0,0.7768,243.85,322.55,397.45,473.27
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,694,0,embedded,153.6,1280,1256,True,1.0,0.8692,42.25,88.31,195.85,239.03
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,694,1,embedded,154.56,1288,1256,True,1.0,0.8122,242.89,88.31,397.45,239.03
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,700,0,embedded,153.6,1280,1264,True,1.0,0.8129,44.17,409.91,197.77,561.59
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,700,1,embedded,154.56,1288,1256,True,1.0,0.8072,243.85,149.76,398.41,300.48
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,706,0,embedded,153.6,1280,1264,True,1.0,0.7693,244.81,369.6,398.41,521.28
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,712,0,embedded,154.56,1288,1256,True,1.0,0.7898,242.89,48.96,397.45,199.68
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,718,0,embedded,153.6,1280,1264,True,1.0,0.8786,43.21,97.91,196.81,249.59
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,718,1,embedded,183.36,1280,1528,True,0.7442,0.855,243.85,16.32,397.45,199.68
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,724,0,embedded,153.6,1280,1256,True,1.0,0.8293,43.21,213.11,196.81,363.83
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,724,1,embedded,153.6,1280,1256,True,1.0,0.8155,243.85,171.83,397.45,322.55
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,747,0,embedded,150.72,1248,1256,True,1.0,0.7264,41.28,221.76,191.04,372.48
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,747,1,embedded,153.6,1280,1264,True,1.0,0.7999,238.09,390.72,391.69,542.4
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,753,0,embedded,154.56,1288,1256,True,1.0,0.7591,38.77,314.51,193.33,465.23
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,759,0,embedded,153.6,1280,1264,True,1.0,0.7586,39.37,442.56,192.97,594.24
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,765,0,embedded,153.6,1280,1256,True,1.0,0.7121,239.04,428.15,392.64,578.87
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,771,0,embedded,153.6,1280,1256,True,1.0,0.7621,239.04,150.71,392.64,301.43
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,782,0,embedded,153.6,1280,1256,True,1.0,0.7709,239.4,94.68,393.0,245.4
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,794,0,embedded,151.68,1264,1264,True,1.0,0.8328,42.25,56.64,193.93,208.32
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,794,1,embedded,152.64,1272,1256,True,1.0,0.7664,42.25,244.79,194.89,395.51
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,794,2,embedded,152.64,1272,1264,True,1.0,0.7919,43.21,431.99,195.85,583.67
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,794,3,embedded,153.6,1280,1264,True,1.0,0.8159,243.85,56.64,397.45,208.32
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,794,4,embedded,153.6,1280,1264,True,1.0,0.7752,244.81,244.79,398.41,396.47
